Gene	S1	S2	S3
THAP11	2.670244e-03	3.150045e-03	7.294806e-03
SAFB	2.924900e-03	2.932216e-03	9.090274e-03
NDUFA5	3.040276e-03	1.000668e-03	1.215994e-02
RPRD1B	3.979268e-03	2.999987e-03	7.494679e-03
RAB20	1.500000e-03	1.950435e-03	4.407745e-02
MAP3K4	4.401402e-03	3.999570e-03	3.333602e-03
ZFYVE20	2.943357e-03	3.000000e-03	8.990258e-03
FAM20C	3.625952e-03	3.404649e-03	5.819389e-03
MED12	3.874591e-03	3.919089e-03	4.928380e-03
OSR1	1.559590e-03	6.548623e-03	4.638432e-03
QARS	3.999266e-03	3.990150e-03	4.291048e-03
CDAN1	4.078486e-03	3.000085e-03	6.389285e-03
NSD1	1.594006e-03	3.508740e-03	8.896206e-03
ESYT2	3.886274e-03	1.000000e-03	1.408617e-02
TBCA	3.947555e-03	1.228205e-02	2.016934e-03
ACSM5	3.971753e-03	2.999679e-03	8.714455e-03
TAF8	3.346272e-03	3.068953e-03	7.573074e-03
FAM115C	2.619509e-01	1.404004e-01	1.037207e-114
SCAMP5	6.994386e-01	8.043917e-01	1.971940e-205
YWHAQ	4.108600e-03	2.999994e-03	7.681472e-03
TRIM33	3.881178e-03	3.929164e-03	5.309025e-03
GLUL	3.119152e-02	2.398734e-03	4.609199e-03
NFASC	3.062816e-03	1.000000e-03	4.420881e-02
TADA1	3.069968e-03	3.082105e-03	8.635516e-03
CLDND1	3.713351e-03	3.883065e-03	6.804399e-03
C9orf41	6.327523e-03	3.966770e-03	3.634010e-03
OCM2	3.413499e-03	2.999998e-03	9.096098e-03
RICTOR	3.834228e-03	2.997354e-03	9.259106e-03
UBC	2.931190e-03	3.984782e-03	7.890273e-03
IRS2	3.041693e-03	3.048684e-03	8.978637e-03
ZBTB18	5.272477e-03	3.096786e-03	5.277292e-03
ARL2	5.025435e-03	1.000888e-03	1.064258e-02
EXOSC3	2.563434e-01	1.032450e-03	4.146200e-03
GADD45G	3.998390e-03	3.332626e-03	7.365388e-03
VIM	1.438564e-01	1.429380e-02	3.075711e-35
RASEF	3.219886e-03	3.043890e-03	8.970112e-03
FAM101A	6.336152e-03	1.000017e-03	1.071492e-02
LYSMD2	3.568309e-03	3.071897e-03	8.867258e-03
ITPKB	4.909050e-03	2.924040e-03	9.003824e-03
RIN3	5.072110e-03	1.642590e-03	9.424098e-03
TBC1D20	6.425253e-03	9.503531e-02	2.008874e-10
GNB1L	3.234961e-03	2.999959e-03	1.126351e-02
MED13	4.318845e-03	2.894374e-03	9.335757e-03
ANKRD17	4.782826e-03	3.000007e-03	8.112056e-03
BLOC1S1	4.684715e-03	1.377502e-03	1.079052e-02
GTF2A2	4.017124e-03	3.000067e-03	8.981758e-03
SENP5	4.032486e-03	1.643161e-03	1.286283e-02
SPTBN4	5.977942e-03	4.005088e-03	3.769702e-03
PIK3CA	4.009226e-03	2.981191e-03	1.097530e-02
FOXK1	1.583260e-03	6.288713e-03	7.758547e-03
PRDM14	1.627699e-03	4.001389e-03	9.005267e-03
MLLT3	2.325073e-03	3.839847e-03	9.853550e-03
UBIAD1	4.384607e-03	3.424379e-03	7.669251e-03
B4GALT7	3.718685e-03	2.999973e-03	1.231541e-02
AMBRA1	3.197230e-03	4.016056e-03	7.640034e-03
RBL1	3.940593e-03	1.561564e-02	3.962683e-03
MTA3	6.184005e-03	3.148768e-03	7.535371e-03
EFEMP1	4.055863e-03	3.026126e-03	9.010404e-03
NUP43	3.905601e-03	3.063090e-03	9.324265e-03
MAPRE3	6.351163e-03	4.069011e-03	4.401726e-03
TADA2B	4.603384e-03	3.351956e-03	8.610411e-03
BARHL1	7.435364e-03	3.001975e-03	7.868708e-03
MYCBP2	3.910907e-03	3.576562e-03	9.137420e-03
PUM1	3.548615e-03	4.008447e-03	8.453495e-03
HNRNPU	7.922251e-03	3.975201e-02	1.353158e-03
SPIRE2	6.593194e-01	9.700125e-01	4.967004e-147
PARP15	9.141152e-01	3.700961e-02	4.871468e-53
MED26	9.929839e-01	1.000457e-03	1.719444e-03
AGO3	2.050003e-01	9.033224e-02	3.979336e-32
DDHD1	4.011106e-03	2.998919e-03	1.502336e-02
TNRC6A	3.987791e-03	3.882953e-03	9.108214e-03
VPS45	3.879475e-03	3.107993e-03	1.127552e-02
CAPZA1	1.517757e-03	4.009375e-03	1.183924e-02
PCDHA8	3.469626e-02	8.317076e-01	2.911174e-39
MUC4	6.702791e-03	3.090929e-03	8.894485e-03
GATAD1	9.433896e-01	8.885716e-01	1.329297e-133
CHRNA4	8.182431e-02	9.234036e-02	2.253841e-17
MAP2K6	5.540156e-03	3.996733e-03	8.109437e-03
EIF2AK4	4.061139e-03	3.959522e-03	9.052265e-03
EFCAB13	1.204402e-01	9.410344e-02	2.081121e-19
LOH12CR1	2.973188e-03	1.658771e-02	7.615330e-03
11-Sep	9.520614e-01	8.724008e-01	3.362535e-128
PQLC1	5.105860e-01	5.002927e-02	5.858954e-24
NLRP3	4.320053e-03	3.001640e-03	1.116906e-02
WWOX	8.324492e-03	2.995335e-03	1.054748e-02
COPRS	3.628565e-03	3.996852e-03	1.057495e-02
ADAM2	2.826230e-03	6.620765e-03	9.005914e-03
ETV3L	3.479574e-03	3.999980e-03	1.007199e-02
IKZF3	1.500000e-03	6.499093e-03	1.677769e-02
SMARCA5	3.163089e-03	4.327840e-03	9.070878e-03
ZIK1	4.351784e-03	3.999912e-03	8.972612e-03
SLC12A7	2.855722e-03	4.083685e-03	1.011634e-02
FRRS1	3.026152e-03	4.528980e-03	9.181726e-03
FAM171A1	3.717046e-03	4.000228e-03	9.460532e-03
GLMN	9.339319e-01	1.000000e-03	8.606576e-03
LTBP2	4.034653e-03	3.998559e-03	9.226326e-03
TUBA3E	1.574312e-02	6.029325e-01	2.288587e-11
SUFU	4.183142e-03	4.013899e-03	8.591013e-03
STAR	1.982596e-02	6.242526e-02	6.548149e-04
GAREML	6.153616e-03	3.567580e-03	9.031992e-03
WDR92	5.565846e-02	3.432478e-06	2.887266e-01
C15orf56	3.032041e-03	4.000213e-03	1.122911e-02
RASD1	7.464855e-03	1.000053e-03	3.669078e-02
SMLR1	1.516227e-03	4.000188e-03	1.733406e-02
EIF4A1	3.917324e-03	3.878200e-03	1.188803e-02
TMEM127	3.120459e-03	3.999823e-03	1.236703e-02
DNM2	2.908539e-03	4.001986e-03	1.147797e-02
SPAG9	1.049122e-02	2.999576e-03	1.029068e-02
DDOST	2.096726e-02	5.079350e-04	2.398137e-01
CHKB	4.154107e-03	3.990446e-03	9.421755e-03
HNRNPDL	1.501111e-03	2.675179e-02	9.313096e-03
PPP2R2A	4.228108e-03	4.520785e-03	8.018759e-03
PPIH	1.500001e-03	4.043729e-03	2.983151e-02
SDC3	5.923596e-01	5.109479e-02	1.897153e-16
CYP46A1	7.042277e-03	3.473540e-03	9.057763e-03
VWA3A	3.136892e-03	4.157632e-03	1.030609e-02
KIAA0247	4.135084e-03	3.947215e-03	1.054550e-02
SUDS3	2.295707e-02	3.206061e-03	7.663852e-03
APOM	4.986484e-03	3.981115e-03	9.264254e-03
PDZRN3	8.584273e-03	3.878878e-03	8.769544e-03
INSC	1.687596e-01	3.843322e-01	9.139209e-23
CMTM1	1.501931e-03	6.028001e-03	1.435541e-02
QKI	3.595973e-03	3.999973e-03	1.241869e-02
MEF2BNB	6.862648e-03	3.994236e-03	8.992044e-03
TCF3	6.316618e-03	3.243645e-03	1.035167e-02
FLYWCH2	2.186556e-01	1.674552e-01	1.008660e-14
PAPSS2	4.070087e-03	4.040666e-03	9.050893e-03
SERF2	2.020339e-02	3.083894e-03	8.841938e-03
PHF14	5.091032e-02	6.426534e-01	5.865086e-14
IMMP2L	6.480630e-02	9.338415e-01	1.408974e-29
AKT1	4.880081e-03	4.065611e-03	8.958348e-03
PACRG	1.345192e-02	4.053492e-03	6.107018e-03
FADS2	8.188337e-03	3.974166e-03	8.985102e-03
SLC29A4	9.876825e-03	3.033131e-03	9.462148e-03
RPRML	2.463017e-03	4.568750e-03	1.357765e-02
DTX3L	2.301318e-02	8.885715e-01	6.279699e-13
RNF166	3.582532e-03	4.000148e-03	1.324127e-02
TMEM63C	4.066368e-03	3.998298e-03	1.179395e-02
ZNF585A	1.193138e-01	9.090767e-04	5.925500e-02
EPG5	4.189946e-03	4.000130e-03	9.941053e-03
ADO	4.547759e-03	3.981158e-03	1.134308e-02
HEXDC	6.473333e-03	4.001059e-03	8.973121e-03
TAF2	3.258572e-03	2.970784e-03	4.950242e-01
PAN2	6.795670e-03	4.110418e-03	8.330044e-03
NPTX1	3.370860e-01	1.106041e-01	1.096499e-10
HKDC1	4.083944e-03	3.735620e-03	1.438671e-02
PLXDC1	4.781012e-03	3.967704e-03	1.153405e-02
ELP4	9.911459e-03	3.000002e-03	1.218308e-02
C11orf82	4.889903e-03	3.000019e-03	2.252224e-02
PDDC1	3.941341e-03	2.762134e-03	4.292502e-01
BLOC1S2	4.743312e-03	3.003815e-03	1.899026e-02
KIF18A	1.529031e-03	3.995271e-03	1.089112e-01
ABCB6	4.557645e-03	1.545759e-02	7.756867e-03
NXT1	5.325696e-03	2.991227e-03	5.802656e-02
AMT	2.488618e-03	4.006308e-03	2.427319e-02
MAST4	6.765252e-03	4.087052e-03	8.939871e-03
MED29	3.755616e-03	3.999727e-03	1.863296e-02
KHDC1	5.725099e-02	4.013579e-03	5.095130e-03
TRIM28	4.070181e-02	7.103211e-02	2.239634e-03
PKD2	4.339297e-03	4.090063e-03	9.961333e-03
BOLA3	8.968221e-03	3.023947e-03	1.222865e-02
ZFP14	1.392755e-01	2.641918e-01	9.495311e-07
CTRB1	5.049154e-03	3.999985e-03	1.131124e-02
SRSF5	6.479584e-03	3.998397e-03	1.101720e-02
DDC	4.933720e-03	4.705505e-03	9.173637e-03
PAPOLA	1.132493e-02	6.798486e-03	7.130496e-03
CYP2S1	6.884211e-03	3.408588e-03	1.360200e-02
LHFP	4.014525e-03	3.000027e-03	9.258730e-02
BMP15	1.690897e-02	3.004925e-03	1.119597e-02
CREB3L1	1.019717e-01	7.509274e-01	1.000499e-08
NUP133	3.324213e-03	4.840506e-01	7.321279e-03
C1QTNF9B-AS1	1.202349e-02	3.946547e-03	1.001327e-02
NEK2	5.121573e-03	1.060856e-02	8.976359e-03
FAM26F	8.267711e-02	8.804995e-01	4.267703e-10
PFDN4	9.920639e-01	3.000001e-03	3.454835e-03
RHEB	2.203972e-03	8.817618e-02	9.791179e-03
SYCP1	3.404162e-01	8.496773e-02	6.500947e-04
PLD1	5.962717e-01	1.734929e-01	1.002540e-07
LRRK2	6.834779e-03	4.003455e-03	9.952755e-03
NANOG	4.223771e-03	4.285577e-03	1.152078e-02
C6orf132	1.207111e-02	6.139530e-03	7.732732e-03
LOC100129083	6.289902e-03	4.791234e-03	9.296758e-03
ATG12	4.181769e-01	5.208431e-02	1.786331e-03
RBL2	5.050111e-03	4.000016e-03	1.409911e-02
NME1-NME2	4.447044e-03	4.632211e-03	1.135701e-02
FAAH	4.574493e-01	4.433082e-01	9.453876e-09
PPP2CB	1.105755e-02	4.175017e-03	8.974973e-03
MTOR	1.626756e-02	3.031156e-03	1.289384e-02
EPM2AIP1	1.756444e-02	3.951278e-03	9.926240e-03
GLOD4	4.972599e-01	2.275085e-01	4.411884e-06
PEX19	1.030495e-02	3.993877e-03	1.094397e-02
KAT5	2.419805e-03	3.998128e-03	2.387403e-01
NOSTRIN	6.935087e-03	3.062333e-03	2.343832e-02
C1orf56	5.022246e-03	4.545854e-03	1.100636e-02
RRP8	8.349483e-01	3.000763e-03	7.597831e-03
LRP5L	5.268575e-01	9.373261e-01	2.398586e-23
PWWP2A	4.831895e-03	1.007400e-02	9.232552e-03
ATXN7L2	7.421341e-03	4.027406e-03	9.852608e-03
CD70	9.692868e-01	6.481436e-01	2.616584e-33
PDK2	6.829520e-03	8.599533e-03	8.995397e-03
GABRA2	3.719914e-03	4.244637e-03	2.161328e-02
MED13L	6.024538e-03	4.051289e-03	1.145561e-02
AREL1	4.407230e-03	1.728430e-02	9.194264e-03
C12orf71	5.012236e-03	4.062188e-03	1.291425e-02
TMEM9B	2.821968e-01	6.341768e-01	1.188089e-06
TNFSF12	4.700045e-03	4.038913e-03	1.378438e-02
SNTG2	9.342572e-01	7.772622e-01	8.769186e-27
KIR3DL1	9.803718e-01	4.061850e-02	6.682910e-09
ZNF773	2.969818e-01	2.908997e-01	3.060077e-04
LCN9	4.040593e-01	6.267733e-01	1.146345e-07
HRSP12	6.281921e-03	4.020448e-03	1.214175e-02
RBM27	1.879417e-02	3.000001e-03	1.879315e-02
COX7A1	6.881065e-03	4.000168e-03	1.280674e-02
TMEM184B	8.720046e-02	6.211450e-02	3.410984e-03
MRPS33	1.842590e-03	1.007696e-01	1.247692e-02
TRMT112	3.996052e-03	4.570682e-03	1.658154e-02
PDCD5	6.899017e-03	7.349469e-03	9.130268e-03
PAFAH1B1	3.860806e-03	4.003269e-03	3.839604e-02
SUPT7L	6.833764e-03	4.000004e-03	1.402048e-02
CD33	4.960806e-03	6.289807e-03	1.129306e-02
SLC50A1	4.768838e-03	7.555995e-03	1.088109e-02
CCNF	5.193854e-03	1.287876e-02	9.422124e-03
WDR24	3.686844e-03	2.559323e-01	8.928316e-03
MTHFD1	4.496764e-03	1.518048e-02	9.782701e-03
LTV1	1.500000e-03	1.000064e-03	1.000000e+00
TMEM50A	7.472138e-03	4.655441e-03	9.815101e-03
BTAF1	8.794240e-03	7.323020e-03	8.998422e-03
CPSF6	1.466381e-02	3.001465e-03	2.013234e-02
PWP2	5.854308e-03	3.980631e-03	2.706879e-02
MRS2	2.075530e-02	1.174826e-02	7.427512e-03
CARD17	7.147522e-03	4.469674e-01	4.816043e-03
MAGEA12	1.781936e-01	5.234898e-04	9.112370e-01
ZBTB7C	6.942705e-03	5.237621e-03	1.046247e-02
C7orf49	4.912805e-02	3.666900e-03	1.026188e-02
SCAMP4	4.340403e-03	5.380690e-03	1.415752e-02
RNH1	5.138425e-03	6.047583e-03	1.222148e-02
UQCR10	1.654726e-01	9.225604e-02	3.132691e-03
CHMP3	2.162577e-02	3.956316e-03	1.156156e-02
SLC3A2	3.532346e-01	7.830314e-01	3.326168e-06
SPTY2D1	9.361286e-03	4.000042e-03	1.238236e-02
TRIM4	4.921022e-03	9.672063e-01	3.638927e-03
C6orf136	6.481008e-03	4.000762e-03	1.527124e-02
TESK2	6.603947e-03	3.999680e-03	1.998251e-02
DIAPH3	8.198973e-03	2.168714e-02	8.790793e-03
LPL	6.282194e-03	8.696674e-03	1.037656e-02
ARHGEF5	4.189844e-03	5.207857e-03	1.607689e-02
TBCB	7.667061e-03	1.342668e-02	9.013987e-03
NKX6-1	2.840972e-03	2.815365e-01	1.024463e-02
SIRT1	4.031800e-03	5.862161e-03	1.806734e-02
TNS3	1.213303e-01	8.422704e-01	7.734855e-04
BCDIN3D	4.875244e-03	2.848219e-02	9.584087e-03
FAM171B	9.849632e-01	9.829651e-01	2.151161e-71
TMEM249	2.974681e-02	3.467258e-03	1.317793e-02
CCNY	3.468419e-01	7.275756e-01	1.936669e-04
MAPKAPK2	5.821295e-03	4.184999e-03	1.517046e-02
NEDD8-MDP1	9.126814e-03	3.044399e-01	5.084275e-03
BICD1	4.679875e-03	4.479630e-03	1.729463e-02
C15orf41	1.023986e-02	4.168904e-03	1.093423e-02
NRBF2	9.843151e-01	1.260880e-02	1.712398e-03
PSAT1	6.431414e-03	8.863288e-03	1.096227e-02
GNMT	8.197401e-03	6.255570e-03	1.020962e-02
NLN	2.987223e-02	4.290775e-02	5.528509e-03
RPA3	4.380858e-03	3.008009e-03	4.378727e-01
AP3B1	1.045862e-02	4.784285e-03	1.031355e-02
GTF2A1	2.029918e-01	3.000000e-03	1.333548e-02
ENOX1	5.873555e-03	4.423159e-03	1.527403e-02
H2AFB1	8.412400e-03	4.052094e-03	1.266014e-02
RPS4X	3.677946e-03	4.000301e-03	1.585296e-01
RAD54L	3.153322e-02	3.739473e-03	1.321118e-02
TDRKH	9.292263e-01	9.449004e-01	9.280531e-23
TRIM71	7.347512e-03	2.877942e-02	9.012552e-03
VPS36	1.107820e-01	2.958966e-03	3.412926e-02
LRRC46	7.616724e-03	4.354977e-03	1.293866e-02
OCA2	5.876249e-03	3.283594e-02	9.484044e-03
TBC1D15	3.017535e-02	4.000041e-03	1.042103e-02
LETM2	6.513073e-03	5.370578e-03	1.382607e-02
TBC1D3F	7.866136e-03	7.547879e-03	1.043431e-02
ADAMTS5	5.514665e-01	1.226926e-01	2.591678e-03
PHGDH	2.004230e-02	3.996663e-03	1.367889e-02
LRP12	5.381142e-03	1.554800e-02	1.157553e-02
DEPDC1B	1.176862e-01	8.636279e-01	1.741238e-03
IMMP1L	1.500000e-03	6.892876e-02	5.015294e-01
ELAVL4	3.339941e-01	1.298689e-01	3.179064e-03
ABHD17C	9.649691e-01	4.633164e-01	6.690472e-10
NOG	9.855256e-01	8.187465e-01	3.349131e-28
PPP1R10	3.884680e-03	3.999933e-03	2.812040e-01
ESRP2	2.192917e-02	3.999667e-03	1.291263e-02
SMS	7.137156e-03	5.843329e-03	1.262911e-02
TAF7L	5.077240e-01	7.915900e-01	2.298310e-04
CXCR5	5.909970e-03	7.044862e-03	1.388132e-02
LEPROT	1.068477e-02	5.040735e-03	1.097692e-02
COQ10A	5.037186e-03	3.498821e-02	1.030509e-02
TBL1X	9.737231e-01	3.435429e-02	1.922280e-03
SLC39A5	4.866910e-03	3.438338e-02	1.062244e-02
PARP12	3.957381e-03	6.869638e-03	3.711354e-02
NF2	1.774138e-02	4.058021e-03	1.093916e-02
USP24	2.400233e-02	3.000027e-03	4.335701e-02
BCR	7.811887e-03	4.000077e-03	1.951471e-02
HSPG2	8.583837e-03	4.115376e-03	1.381684e-02
EAF2	5.235723e-01	2.334165e-01	2.321034e-03
FAM193B	7.646805e-03	4.408852e-02	8.985279e-03
LDLR	1.612265e-02	6.744567e-03	9.390729e-03
GOLGA1	8.529430e-01	2.637860e-01	1.165439e-03
DPY19L2	2.692244e-03	1.026986e-02	9.789856e-02
CYGB	9.941704e-01	4.463437e-01	1.112748e-56
GARS	5.812199e-03	3.997104e-03	7.037664e-02
SNTB2	1.121987e-02	3.852527e-03	3.198236e-02
EPRS	3.593247e-03	4.001326e-03	3.008333e-01
MED15	7.620359e-03	4.019886e-03	1.631600e-02
ING5	7.571057e-03	3.586807e-03	6.646009e-02
CYB5B	1.151404e-01	2.894223e-01	3.454555e-03
GTF2H4	4.729351e-01	2.862309e-01	2.424285e-03
COMMD7	8.851069e-01	9.367417e-01	1.580342e-12
PGD	4.026467e-03	4.122982e-03	6.644136e-02
LDLRAD2	3.117372e-03	4.382217e-03	2.511769e-01
DDX21	7.101892e-01	9.999982e-04	3.517724e-01
NDUFC1	5.327318e-03	4.336604e-03	2.775855e-02
SUPT4H1	3.933504e-03	9.522097e-03	3.753737e-02
CEL	7.247307e-03	4.000475e-03	2.740206e-02
XPR1	6.378519e-03	8.725422e-03	1.398125e-02
ATP5L2	4.041058e-03	4.372309e-03	6.200087e-02
RPTOR	5.814744e-03	7.220555e-03	1.611668e-02
MYEOV2	9.109682e-03	4.474000e-03	1.391394e-02
ZBBX	9.980847e-01	3.524007e-01	4.826120e-312
GALNT16	3.957267e-01	6.354718e-01	2.080736e-03
MTCH1	1.236695e-02	4.608834e-03	1.253082e-02
OTOR	2.316109e-02	5.592497e-03	9.730124e-03
POLDIP3	9.613795e-02	4.780559e-01	3.472383e-03
EP400	6.317073e-03	3.015250e-03	4.916494e-01
ANKMY1	4.689042e-03	9.045150e-02	9.934952e-03
IMP4	1.598418e-03	9.975987e-01	7.148710e-03
ELP3	7.344469e-03	4.861475e-03	1.573330e-02
CTNNBL1	1.148263e-02	4.828865e-03	1.291389e-02
PIGG	6.388965e-03	1.109555e-02	1.385690e-02
RTEL1	2.911339e-02	4.297668e-03	1.034493e-02
UBA2	4.655599e-03	1.187358e-02	1.771406e-02
SNX18	7.008659e-01	6.568850e-02	3.525917e-03
ZHX3	6.299959e-03	3.309231e-02	1.126036e-02
FBXO4	7.124809e-03	4.053007e-03	2.629825e-02
PAK7	1.762595e-02	4.000010e-03	1.701461e-02
PIGZ	6.221685e-03	6.309998e-03	2.037000e-02
TLE6	4.146887e-03	2.204305e-02	1.780060e-02
STK19	7.056220e-03	6.413748e-03	1.603595e-02
IMPG1	1.433087e-02	3.029532e-03	9.411138e-02
INPP5F	2.452116e-02	6.807447e-03	9.711683e-03
DNAJC9	2.127517e-01	2.927387e-03	5.924973e-02
SKIV2L2	1.500082e-03	9.744392e-01	1.151397e-02
ZNF695	1.980777e-02	1.000037e-03	9.668545e-01
LGI2	5.349575e-01	9.567168e-01	4.426186e-05
EHD1	2.566789e-01	8.127849e-01	2.387549e-03
GPR97	2.356557e-02	4.015017e-03	1.317787e-02
